,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulated
CD7,620.566933649715,-1.97515153922464,0.402843903715471,-4.90301955920796,9.43745832374055e-07,0.00141367882657231,down
CDHR3,395.883604523815,-3.33472807298998,0.771997049298196,-4.31961245968686,1.56303441431181e-05,0.00766256307510716,down
CDHR4,168.953229327864,-4.77389847849311,1.06390299439824,-4.48715578735004,7.21802959881352e-06,0.00499024954032843,down
CFAP107,47.3760659525811,-4.47832826360489,1.25191515343617,-3.5771819290733,0.000347318451087332,0.0414369353834856,down
CFAP52,116.832530009163,-3.48830269512624,0.83269869425533,-4.18915355481105,2.79996893263547e-05,0.0116147018970231,down
CFAP65,216.483511746986,-3.80330563861687,1.02275103456117,-3.71870133599889,0.00020024964881063,0.0321388766719108,down
CFAP97D2,17.3025268198006,-4.36544384629887,1.20228492159909,-3.63095616344637,0.000282373147602779,0.0363129935139793,down
CGREF1,166.152992940885,-2.7591581530102,0.764223783208201,-3.61040602718132,0.000305718052748961,0.037812274570047,down
CHP2,58.1835913374938,-4.64915081431535,1.17863042882737,-3.94453655752026,7.99544560311713e-05,0.0207761229759891,down
CHST4,117.751514981078,-4.73795485171466,0.963941499749657,-4.91518920281484,8.86967575408562e-07,0.00140678274916124,down
CHST9,373.391515871611,-5.37574785860833,1.06631193787811,-5.04144018991824,4.62041270083522e-07,0.0010381682304385,down
CIBAR2,211.059682231882,-4.14263655974044,0.920839741904083,-4.49875952483809,6.83511199262922e-06,0.00484987170150688,down
CYP2F1,42.2645346515859,-3.77501069119138,1.02685152260593,-3.67629653176265,0.000236644435171049,0.0339395952421116,down
DCDC2B,82.4362138582612,-3.05503300222658,0.865173181560055,-3.53112309458996,0.000413799127962977,0.0450691996124625,down
DNAAF6,26.7785876855907,-5.40733881550843,1.34891047738119,-4.00867137306724,6.10613192240818e-05,0.0177031865617088,down
DNAH10,176.505815842526,-2.81313677923967,0.775404155953092,-3.62796195718334,0.000285667340249202,0.0363129935139793,down
DNAH12,182.350093671832,-3.3601111207891,0.919680307622976,-3.65356427982426,0.000258625004364542,0.0350417386566892,down
DOC2A,127.011981509949,-1.74636095593751,0.475461083083911,-3.67298401082663,0.000239734489251678,0.0339987182770029,down
DRC7,73.4107882414901,-3.52669567739055,0.906320795895619,-3.89122228394362,9.97405054218494e-05,0.0236307641348634,down
DRD2,50.2910904071192,-3.28363591434532,0.881194119099798,-3.72634796711965,0.000194274162211822,0.0313665523096848,down
DTHD1,196.348027696402,-3.08077450279841,0.711054927467408,-4.33268146213589,1.473041618542e-05,0.00766256307510716,down
