,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000103150,271.046147925398,-0.183810152984557,0.231785580225739,-0.793018067843313,0.427767296124917,0.846896357134299
ENSG00000103152,1298.27626632494,0.168007496176345,0.189385133116318,0.887120828397637,0.375013851414019,0.822659503351278
ENSG00000103154,44.0571334169062,-1.40526206904892,0.974168492919839,-1.44252465488488,0.149154421443745,0.636342834500342
ENSG00000103160,830.42901400988,0.279823858182242,0.272627374799451,1.0263967746749,0.30470459771317,0.780257195762561
ENSG00000103168,2805.14950409895,0.0684600015732517,0.17788138581753,0.384863212407608,0.700338762683188,0.943387912512795
ENSG00000103174,631.311882769276,0.0418915994970282,0.234447294441477,0.178682375485827,0.858187108785748,0.976064331694537
ENSG00000103175,298.76761138047,0.165792222665164,0.632315431547115,0.262198602775696,0.793168330545427,0.96398916688179
ENSG00000103184,19.6711611896626,-0.524956201045219,0.352804188960213,-1.48795342422768,0.136763177069675,0.620589960169917
ENSG00000103187,5516.76631035275,-0.51549663428532,0.395824950894461,-1.30233486575425,0.192801937857441,0.69019100510491
ENSG00000103194,1994.95161994817,-0.144915284546783,0.186625234478556,-0.776504232944094,0.437451322465264,0.852034610275462
ENSG00000103196,2057.11677251624,-0.696573668795392,0.539566006699062,-1.29098879497036,0.196707562961288,0.695135169527979
ENSG00000103197,3781.27593367965,0.332796054513435,0.171255862748722,1.94326809705625,0.0519837740480605,0.444290622488296
ENSG00000103199,576.830849144698,0.207159959499016,0.181342942503394,1.14236571128285,0.253302037697798,0.741786387143777
ENSG00000103202,2642.95610606351,-0.164196673510075,0.406484530220676,-0.403943228592079,0.686254466900166,0.939765416814951
ENSG00000103222,5239.34381924676,0.297008146893065,0.463006577579841,0.641477165282493,0.521212712155942,0.887437380516586
ENSG00000103226,990.179946243862,0.335831301994028,0.203409496369575,1.65101093109171,0.0987363428692111,0.556104769668648
ENSG00000103227,437.569818285189,-0.113033874768624,0.275060488883022,-0.4109418812845,0.681115151471502,0.938942521371393
ENSG00000103241,804.89904015093,-0.827131051346112,0.672524405482593,-1.22989001529629,0.218738293701261,0.71302325732435
ENSG00000103245,1072.67307322859,0.0731861870989176,0.168166403515882,0.435201000727865,0.663416536265156,0.933346394301859
ENSG00000103248,544.669455538246,0.0112195050338627,0.240047151022312,0.0467387552240512,0.962721441880996,0.991150710347147
ENSG00000103249,3397.72467457744,-0.0191597383776354,0.189477876796022,-0.101118603932117,0.919456309938004,0.984776396567831
ENSG00000103253,632.936535913149,-0.692953250976176,0.399814820114018,-1.73318550517602,0.0830627024809645,0.527197276350828
ENSG00000103254,892.18307969665,0.218155240601754,0.229409219685637,0.950943649521564,0.341632982131132,0.80271359767095
ENSG00000103257,5526.81691616457,-1.34590983220757,0.720370475464156,-1.86835784925855,0.0617122081779479,0.475352665861253
ENSG00000103260,1169.80721211752,0.161464045692402,0.452131311783666,0.357117592797154,0.721003774566408,0.948405930999808
ENSG00000103264,1166.92770850258,-0.0373213695519764,0.204892238428759,-0.182151211964786,0.85546405958625,0.975218247070999
ENSG00000103266,3033.95256226805,0.206319310373896,0.195418266371068,1.05578313739683,0.291067303931626,0.771113653912586
ENSG00000103269,228.166084905711,0.89231762047344,0.59498822977719,1.49972314714123,0.133686132062903,0.616355931062443
ENSG00000103274,690.959269966699,-0.0287443207953214,0.156263355255133,-0.183947930392191,0.854054303290224,0.974889237382214
ENSG00000103275,4468.96419450729,0.257100703654034,0.180929041283206,1.42100296243541,0.155315898222134,0.644813030850176
ENSG00000103313,96.5897207963849,-0.545192589743378,0.510154277231096,-1.06868179700944,0.285213076549034,0.767927397932133
ENSG00000103316,565.639967154133,0.387302516456392,0.940383568146161,0.41185589537672,0.680445049373873,0.938634878306015
ENSG00000103319,1411.11811271944,-0.231330004936603,0.250664367859018,-0.922867525657698,0.356076245796962,0.811414565713229
ENSG00000103326,2629.42216342176,0.255937868478298,0.199836842023302,1.28073415235642,0.200287059599508,0.698610883051104
ENSG00000103335,7007.22721542735,-0.212764490426793,0.231889961710651,-0.917523504929798,0.358868381775909,0.813438553739624
ENSG00000103342,3850.9673477946,-0.0779151008449834,0.238823229460986,-0.326245905897992,0.744238311820085,0.954438427185492
ENSG00000103343,306.086954964662,0.310144741888697,0.203658604357403,1.52286589052933,0.127792260990125,0.605777555041622
ENSG00000103351,664.234359629045,-0.228232424589178,0.343998303553824,-0.663469622470006,0.507029828678614,0.882356253407092
ENSG00000103353,1682.33723143568,0.143255268830817,0.226594654826211,0.632209391438153,0.527250061370767,0.890711546775066
ENSG00000103355,3.86108702268381,-0.825248156036897,1.02524112623948,-0.804930796196068,0.420859615853409,0.844341828962631
