,log2FoldChange,logCPM,LR,PValue,padj
ENSG00000099139,2.98579165423901,4.38311813413638,20.2151990238836,6.92009280075148E-06,0.001429625785932
ENSG00000118257,2.63782612731993,6.34538470540426,20.1823925286534,7.03979435146922E-06,0.001431870335288
ENSG00000151388,3.34472422920317,4.52186926932962,20.1823077227022,7.04010646233017E-06,0.001431870335288
ENSG00000130508,2.60801713756981,7.06808100016248,20.1130873121713,7.29954744809194E-06,0.001461971193859
ENSG00000149968,5.6115307997496,1.06830020510325,20.1181085076896,7.28040910810674E-06,0.001461971193859
ENSG00000173848,2.27826407436094,6.43731158605046,20.015492348986,7.68172757479038E-06,0.001526859745301
ENSG00000075223,2.72430070932454,5.85070113527872,19.9560130440402,7.92443461046442E-06,0.001540099191665
ENSG00000175592,4.07954333929705,3.67172025687621,19.9656344971578,7.88465833096738E-06,0.001540099191665
ENSG00000223485,4.68688397977551,-0.052253587691664,19.9692734855835,7.86966659526546E-06,0.001540099191665
ENSG00000113140,3.05515257899315,10.1272483345611,19.8839663815002,8.22875747958009E-06,0.001559545296761
ENSG00000123989,2.08581377163923,7.24633454893232,19.8970826994208,8.17249391804932E-06,0.001559545296761
ENSG00000157570,3.57709385829318,5.75632464562732,19.8761999335423,8.26225545031027E-06,0.001559545296761
ENSG00000169490,1.83885058546521,5.26733495587431,19.8880792390449,8.21107330211373E-06,0.001559545296761
ENSG00000130635,3.26849515383628,8.21360764712922,19.7791182935114,8.69271984932836E-06,0.001606133033006
ENSG00000149257,2.32115884654498,8.25210957112565,19.8010621509602,8.59349097208914E-06,0.001606133033006
ENSG00000180044,3.796466250339,1.98333688736675,19.7886079933613,8.64966757020061E-06,0.001606133033006
ENSG00000230088,8.74754644820274,-2.24892270504487,19.7399511157538,8.87269943186056E-06,0.001627923181774
ENSG00000132002,3.05827693882275,8.22997081476684,19.7033788101544,9.04413155155963E-06,0.001647853329988
ENSG00000162616,2.98529791114048,4.92672043379295,19.6475031680306,9.31249187037412E-06,0.001685047235883
ENSG00000162576,2.84331000202036,6.88850221320745,19.4888435153152,1.01188964289191E-05,0.001818421134285
ENSG00000125780,5.57676055670681,0.581034996089626,19.47502086771,1.01923881510808E-05,0.001819167945033
ENSG00000151929,2.56126354432358,6.5154573953545,19.4412247654851,1.03743390753989E-05,0.001839131988657
ENSG00000172020,4.37231626153284,-0.612332451977882,19.4073577165504,1.05599439356311E-05,0.001859471470061
ENSG00000177234,5.21145071274388,-2.31866925064512,19.3822215648236,1.06998525433526E-05,0.001871546874533
ENSG00000256268,5.01956992324668,-1.70946284167504,19.366981249966,1.07855854492759E-05,0.0018740490426
ENSG00000137573,2.95046240463262,7.07307416819338,19.349691268128,1.08836840433174E-05,0.001878652751609
ENSG00000153956,3.40853128885504,3.3748080933754,19.3346300030654,1.09698673889063E-05,0.001881153010998
ENSG00000136688,5.86651877505425,-0.262506455566579,19.1769876440668,1.19141051261952E-05,0.002029807637636
ENSG00000171246,4.22331926410069,1.79207956809755,19.1469471608307,1.21030926440784E-05,0.002048702204533
ENSG00000118473,3.01330666395594,3.39794158785294,19.1137913926781,1.23151757672284E-05,0.002062472279807
ENSG00000174482,5.14400949695005,-2.19332673753978,19.109691255926,1.23416605530242E-05,0.002062472279807
ENSG00000268089,5.63011127561352,0.325449448086872,18.8088719380806,1.4449342363733E-05,0.002399413896185
ENSG00000106624,2.67886836225466,8.49893530281823,18.7877836152617,1.46099956929154E-05,0.002410833062862
ENSG00000005884,2.66030541928715,8.59538025661831,18.7581133982269,1.48390692778243E-05,0.002433329129014
ENSG00000168542,3.63498318206731,10.619207896743,18.742656386961,1.49598332404094E-05,0.002437895308873
ENSG00000122786,2.65150274988787,8.01659027850052,18.6905622132951,1.5374156444314E-05,0.002479099782149
ENSG00000196878,3.0898473079248,8.49951513204634,18.6871545975181,1.54016566105215E-05,0.002479099782149
ENSG00000041982,3.3625380564799,8.64146301511209,18.6055625103055,1.60750818447254E-05,0.002556132862788
ENSG00000197614,3.6983697098276,2.46546063290446,18.6079345696928,1.60550926039414E-05,0.002556132862788
ENSG00000133110,2.85275459213883,7.73663915912683,18.4645173536454,1.73097185605751E-05,0.002723679593461
ENSG00000164764,3.79572967937756,2.7687758510337,18.458172554968,1.73674438774903E-05,0.002723679593461
ENSG00000169509,9.76510086796527,1.36434974774854,18.4388976128004,1.75439970764561E-05,0.002723679593461
ENSG00000177707,3.57259061031074,3.36705535676723,18.4495015092955,1.74466463578724E-05,0.002723679593461
ENSG00000140937,2.78616867816121,6.88024486827055,18.3951719767456,1.79512251596584E-05,0.002770507614788
ENSG00000060656,3.01084386100865,6.16185392534598,18.3190040070289,1.86834068757295E-05,0.002866646468997
ENSG00000153802,6.91250796187587,0.646316013632475,18.2927910461241,1.89422633114857E-05,0.002889466061067
ENSG00000144229,4.32397825718374,1.85331167933419,18.2631902127006,1.92389096399365E-05,0.00291775301863
ENSG00000163520,2.73390038787827,6.23870227217523,18.1486456214379,2.04314687908448E-05,0.003080807164744
ENSG00000156535,2.82898405029296,5.93789465146304,18.0923787012796,2.10442067550534E-05,0.003155067729328
ENSG00000138311,3.65753752478201,1.01351247276964,18.0809428904088,2.1170980700269E-05,0.00315603988996
ENSG00000185070,3.49952435146198,3.45476315337657,18.0396885548767,2.1634724254319E-05,0.003188934046408
ENSG00000185742,5.17613592829801,-1.73806680343697,18.0495758094378,2.15226592098828E-05,0.003188934046408
ENSG00000204866,5.02169648872854,0.615900695105348,17.9899690693595,2.22072088132801E-05,0.003255030936503
ENSG00000120820,3.35484934393693,3.47595028788405,17.9680638463865,2.24642385625419E-05,0.003274412373141
ENSG00000119699,2.89247355826571,4.22180730510423,17.8405360145104,2.40210984049465E-05,0.00348199756271
ENSG00000149527,3.0569904842467,4.58246346922251,17.8106943794773,2.44007906938451E-05,0.003517601897991
ENSG00000163207,5.86644818905392,3.41121584289572,17.6490321530841,2.65650421861668E-05,0.003808672195839
ENSG00000122861,3.01120255227252,6.95366269018349,17.608473750648,2.71376449013663E-05,0.003869621680854
ENSG00000188536,3.17094189220204,6.378357176617,17.5860392927048,2.74596850509848E-05,0.00389437706315
ENSG00000019485,2.61842888016456,4.47776689169862,17.5419952444547,2.81031388040931E-05,0.003964204584962
ENSG00000197594,3.26731282858874,2.09964161867111,17.270366201922,3.24203747479334E-05,0.004548734611024
ENSG00000237575,3.67409366943525,-0.265350875668369,17.2434519716234,3.28828878274266E-05,0.004589086850682
ENSG00000144136,2.09204142408158,6.36894334646979,17.1999674474231,3.3644211865329E-05,0.004670493051379
ENSG00000141696,1.96152036343063,4.89419498112939,17.1317968276848,3.48735574537346E-05,0.004775433405848
ENSG00000142178,3.73747746521896,5.12007442978687,17.1303809659946,3.48995632247487E-05,0.004775433405848
ENSG00000179242,4.06967961287821,1.16013995367426,17.1278450089619,3.49461910249968E-05,0.004775433405848
ENSG00000164932,2.96783648379005,5.8707075057552,17.0775155993501,3.588464480682E-05,0.004870212656815
ENSG00000275857,-8.30986329845034,-0.077630884348148,17.0708391103586,3.60110247140323E-05,0.004870212656815
ENSG00000100097,2.40670416466327,7.46715458767462,17.0458942062189,3.64871805391436E-05,0.004884255896967
ENSG00000127083,4.0840543592514,2.46432595964877,17.0526233240771,3.63581132526915E-05,0.004884255896967
ENSG00000197182,3.04819321307361,2.48731221479057,17.0290687015418,3.68119198174899E-05,0.004902712387063
ENSG00000259753,8.66516290474923,-2.22862753825432,17.0090190680137,3.72026820242361E-05,0.004929731152878
ENSG00000145040,4.20819305029663,1.61744615016617,16.9790701257822,3.77941590190686E-05,0.004933359951161
ENSG00000182871,2.10654129139251,8.27042327340627,16.9828613993516,3.77187637309474E-05,0.004933359951161
ENSG00000250644,2.93087642270151,4.93207582868726,16.9797956675975,3.77797187954441E-05,0.004933359951161
ENSG00000101935,2.03411215475731,4.27453883984318,16.9064326477885,3.9268283204618E-05,0.005100405675443
ENSG00000269609,-2.8626272733566,3.79060704932177,16.8693822472162,4.00423163470644E-05,0.005175321448266
ENSG00000180801,2.76402961312111,3.83547650339264,16.8439472269642,4.05825497016827E-05,0.005219433120211
ENSG00000155269,5.26313000716877,1.54834481559439,16.7665650562497,4.22716055191124E-05,0.005410146897585
ENSG00000268941,4.83520721594562,-0.943307202239224,16.72289346241,4.32558614371743E-05,0.005509242895763
ENSG00000184564,4.54345701265336,4.42825384894994,16.6738693126919,4.43882299712771E-05,0.005626154539886
ENSG00000133398,1.94120569050321,5.03054363203544,16.6593906188762,4.47283278417776E-05,0.005642005469157
ENSG00000240476,8.8081530340798,-0.669488158731351,16.6056856079149,4.60128766446017E-05,0.005748842557663
ENSG00000259807,3.46152364507189,0.803477841440478,16.6056587552352,4.60135281133217E-05,0.005748842557663
ENSG00000102024,1.9930456576147,7.90280626402683,16.554742358724,4.72656347033559E-05,0.005877291268777
ENSG00000258504,-7.54137391856943,-0.405552149419948,16.5429057885069,4.75615869245607E-05,0.005886195076131
ENSG00000185222,1.7731976741607,5.77962583328407,16.5031545015514,4.85692006993191E-05,0.005982676613841
ENSG00000157227,2.29883052548946,8.84487301867322,16.4239825725578,5.06404526725282E-05,0.006118263486955
ENSG00000170961,3.36780983467432,3.29964021217946,16.4317745842028,5.04327219556806E-05,0.006118263486955
ENSG00000181333,3.62956167401003,-0.923188014374192,16.4308241748439,5.04580133920532E-05,0.006118263486955
ENSG00000218336,3.98948980974195,2.8190649199909,16.4382613364047,5.02604424199226E-05,0.006118263486955
ENSG00000285551,5.83452095185067,-1.71367477786084,16.4166806991674,5.08358974027616E-05,0.006118263486955
ENSG00000158258,3.46633796160209,2.4809298165456,16.393532573524,5.14605168057987E-05,0.006165157896958
ENSG00000086991,3.08882310650538,2.28698679089847,16.3581923476749,5.24290407169837E-05,0.0062021656541
ENSG00000102038,1.91680246885523,5.61719304104047,16.3564020380233,5.24785903575212E-05,0.0062021656541
ENSG00000166147,2.65182063613364,6.67583954082411,16.3682212239168,5.21523443622962E-05,0.0062021656541
ENSG00000112902,3.04559116657595,4.4515940824984,16.3218385261688,5.34444740453282E-05,0.006287994015817
ENSG00000113721,2.46227388934913,7.19521745028905,16.3075905004799,5.38478228867715E-05,0.00630716664768
ENSG00000143369,2.56213558102598,4.88493762129877,16.2890183848699,5.4378182150347E-05,0.006312921969375
ENSG00000158008,3.70118531486483,0.048993120359942,16.2938729244129,5.42390472944008E-05,0.006312921969375
ENSG00000165655,1.86006656651483,5.39458208963247,16.2776482610724,5.47054650854557E-05,0.006322939592278
ENSG00000078053,3.46165954865639,0.237971226209139,16.2570317976492,5.53039595491862E-05,0.006363295382042
ENSG00000259672,6.99755111927129,-2.82387251746664,16.2489733307617,5.55396822231074E-05,0.006363295382042
ENSG00000162783,2.78431511763833,6.91674256953962,16.184919850162,5.74496415070843E-05,0.006497009673368
ENSG00000166396,6.34653017418671,0.164701012384213,16.1996485753068,5.70046902512079E-05,0.006497009673368
ENSG00000174332,4.07173759106704,-0.945008632516882,16.1898752206781,5.72995524271946E-05,0.006497009673368
ENSG00000263424,5.77158030018199,-2.72237350479825,16.1732116037976,5.7805835358593E-05,0.006509234773834
ENSG00000086717,3.56245921085586,-0.696207393991547,16.1503487375033,5.85077961521452E-05,0.00656012413523
ENSG00000139211,2.19803108102625,5.30810920501155,16.1328028682554,5.90523175122332E-05,0.006573563650716
ENSG00000186340,3.18191115220625,7.17612423160243,16.1303530398686,5.91287502980089E-05,0.006573563650716
ENSG00000175600,3.54706050733931,1.56379356103595,16.1039168517262,5.99598960388114E-05,0.006637838786373
ENSG00000131626,1.88469269299098,6.05733244960765,16.0752325216039,6.08750200963609E-05,0.006682752729156
ENSG00000261857,4.43089049410177,1.7701236874291,16.0789748570277,6.07548351059065E-05,0.006682752729156
ENSG00000147257,4.37082457168487,6.71052560559706,16.0143902751272,6.28628558648938E-05,0.006872219788863
ENSG00000275431,12.5473731656294,-1.61034246333538,16.0006577322793,6.3320481395621E-05,0.006893524773348
ENSG00000164023,2.1226613884852,5.49072952399042,15.9790933811266,6.40458670297884E-05,0.00694368352587
ENSG00000075673,5.12358248871578,0.913731954254231,15.9623058470219,6.46163505397073E-05,0.00694811143078
ENSG00000120694,2.55272913534525,7.03326003362651,15.9676596880888,6.44338603590742E-05,0.00694811143078
ENSG00000259132,-5.93597340027405,1.66109742303138,15.9354775255597,6.55386759844094E-05,0.00701852343593
ENSG00000154856,3.00734280276241,4.46279153202323,15.9127477572336,6.63304531782385E-05,0.007055125450804
ENSG00000248837,6.16474985003847,-1.64909795731392,15.9102437840077,6.64182637629515E-05,0.007055125450804
ENSG00000248540,3.26415110262006,-0.909886358806662,15.8681110561181,6.79134560092972E-05,0.007184860263371
ENSG00000004939,4.55355638582112,-2.68461420742574,15.7500038574202,7.22877914262592E-05,0.007616926841971
ENSG00000104332,4.51749072802844,2.52599130385874,15.6939922991557,7.44603000895573E-05,0.007814459573799
ENSG00000263873,2.83411354023417,3.62630555072781,15.6778655026575,7.50978999432453E-05,0.007849974505223
ENSG00000166033,2.07035228068045,6.36738828719136,15.6400147375144,7.66160520699362E-05,0.0079768863419
ENSG00000163209,7.77272583361611,3.46826161599961,15.61270342974,7.77306205289921E-05,0.007997718787526
