,COV1_S25,COV2_S26,COV3_S27,COV4_S28,COV5_S29,COV6_S30,COV7_S31,Neg11_S3,Neg12_S3,Neg13_S3,Neg15_S3,Neg16_S4,Neg18_S4,Neg19_S4,Neg21_S4,Neg22_S4,Neg9_S33,Neg10_S3,Neg14_S3,Neg17_S4,Neg20_S4,Neg23_S4,Neg8_S32
STIM1,16.68,35.78,37.66,21.61,40.99,20.83,54.12,13.07,21.17,19.13,30.17,28.13,28.42,17.06,25.8,40.17,19.79,18.68,16.64,19.02,23.61,22.04,16.81
STIM1.AS1,0.15,0.27,1.29,0.83,0.28,0.12,0.64,0,0.52,0.1,0.91,0.5,0.65,0.15,0.12,1.22,0.76,0.64,0,0.4,0.62,0.45,0.39
STIM2,18.86,22.11,16.58,19.61,13.8,19.58,36.51,7.77,13.81,9.33,23.38,23.11,22.53,19.03,23.31,23.4,12.35,26.37,30.43,13.31,9.8,23.66,13.04
STIMATE,10.22,11.27,18.92,16.21,18.13,13.44,11.36,4.17,12.38,10.33,17.47,23.98,19.25,13.86,16.32,11.39,8.88,7.79,11.82,7.59,11.75,15.05,10.58
STIMATE.MUSTN1,2.34,4.13,4.58,4.68,4.53,2.37,4.14,1.72,3.26,3.61,5.96,6.77,3.9,2.15,4.34,2.1,2.82,2.42,3.35,1.38,3.14,4.21,3.06
STING1,81.15,136.75,128.07,58.57,73.11,44.47,19.72,14.79,70.1,73.22,105.74,80.08,94.22,63.9,94.82,48.64,58.09,48.78,110.1,11.33,18.32,73.91,57.66
STIP1,113.47,80.78,82.63,99.81,173.2,114.93,120.39,94.94,66.83,116.62,72.29,89.96,69.88,44.05,70.79,131.36,82.12,109.27,62.02,122.74,39.85,61.74,205.53
STK10,7.37,22.81,25.58,10.58,21.54,8.44,7.98,13.18,33.17,19.53,23.79,20.65,14.52,19.54,26.87,8.45,20.08,11.75,13.78,7.69,6.04,37.16,20.49
STK11,70.62,59.81,61.88,30.91,45.25,63.22,63.92,25.94,39.04,50.74,40.49,42.87,41.01,34.22,42.02,61.62,31.35,31.1,45.46,53.46,44.47,40.55,39.78
STK11IP,19.79,19.21,22.85,16.96,26.7,21.72,63.24,18.35,19.98,19.02,15.84,37.01,25.07,17.08,21.81,29.74,12.7,17.58,10.89,15.71,11.55,19.13,10.83
STK16,40.66,25.51,25.71,35.3,28.27,22.76,49.81,18.7,23.82,21.77,20.67,25.57,21.89,24.27,22.44,23.82,20.37,42.07,31.43,11.79,13.62,23.24,16.92
STK17A,71.84,44.97,34.67,12.14,78.86,32.26,7.68,14.95,17.68,20.87,18.7,22.66,24.88,33.28,24.06,8.93,45.67,22.33,15.18,20.97,11.91,27.03,102.34
STK17B,7.53,35.23,26.24,12.36,31.59,16.87,1.94,7.5,16.2,13.91,24.76,18.49,17.08,33.44,20.69,6.43,20.06,10.42,18.88,10.91,5.72,29.25,34.82
STK19,60.59,22.37,30.18,19.63,24.81,24.87,32.96,34.1,18.93,25.54,24.56,24.95,28.53,17.25,15.57,45.02,15.94,11.35,21.13,17.76,10.11,20.09,16.66
STK24,90.12,71.04,50.87,97.64,74,75.79,47.21,328.71,79.51,83.19,62.99,92.43,56.08,36.66,84.81,126.27,48.94,90.66,49.4,78.16,42.8,47.65,57.77
STK25,131.97,93.94,149.2,112.82,118.93,170.9,317.16,139.94,84.31,95.75,125.76,141.59,130.54,85.54,105.77,118.8,88.74,90.24,89.37,80.68,42.89,105.72,78.08
STK26,3.77,7.04,5.37,12.81,4.84,34.82,5.28,11.46,7.43,5.65,3.04,8.55,6.53,5.36,8.83,21.69,7.47,12.41,12.03,16.87,19.07,7.26,8.66
STK3,10.13,12.08,23.93,11.15,16.45,16.59,7.96,17.79,8.92,17.25,15.3,15.88,11.92,10.06,14.64,8.49,13.39,18.43,12.06,18.04,8.76,10.53,11.27
STK31,6,1.49,0.77,1.93,1.82,2.44,0.05,2.79,0.63,0.35,0.96,1.58,2.39,2.42,1.26,2.1,0.92,3.53,1.59,0.78,1.1,0.23,7.17
STK32A,21.9,15.91,19.98,5.23,3.09,1.2,32.68,0.37,2.6,3.96,0.92,4.52,5.67,2.25,1.81,0.12,8.52,2.77,3.37,0.27,0.48,4.57,1.14
STK32B,0.19,0.61,0.55,0.82,3.34,5.29,32.3,0.45,0.7,0.43,0.8,0.87,1.44,1.02,0.8,1.32,0.69,0.44,0.77,0.94,1.44,1.14,1.05
STK32C,16.26,12.17,12.2,15.92,11.2,8.88,29.13,14.01,19.69,12.46,15.88,16.48,13.09,10.17,13.77,21.1,13.84,11.16,18.94,8.32,9.3,15.16,10.5
STK33,4.31,4.79,1.63,4.32,2.12,2.67,41.28,0.08,3.47,5.98,6.96,11.64,20.42,12.28,3.89,2.44,2.65,1.11,7.09,2.85,6.55,4.56,8.07
STK33P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STK35,11.89,8.37,11.58,9.03,6.15,18.43,10.22,7.42,3.95,7.63,8.27,6.97,7.57,4.9,6.36,29.01,4.88,5.91,7.72,9.5,15.22,5.57,5.07
STK36,86.32,27.12,29.53,24.81,25.69,18.04,50.68,23.83,17.35,31,15.81,51.21,40.29,27.55,24.68,32.09,15.98,19.04,29.49,10.1,8.75,28,14.43
STK38,20.67,23,25.35,21.04,21.49,26.13,10.54,31.97,22.52,26.64,11.8,28,21.58,16.93,16.44,119.56,13.43,15.68,16.01,24.38,13.53,17.77,14.74
STK38L,19.21,13.79,13.64,26.2,41.13,73.33,16.79,13.81,20.33,11.64,13.03,17.04,12.59,13.81,42.73,32.69,18.34,9.48,9.32,22.27,13.69,15.39,16.25
STK39,29.24,38.67,28.49,11.98,16.1,14.05,14.16,35.16,15.19,16.75,7.89,13.97,11.65,12.78,25.77,16.27,12.59,29.13,11.22,20.64,8.73,8.51,15.11
STK4,11.38,13.45,9.14,10.28,13.24,10.59,12.28,6.79,12.64,9.74,12.67,14.8,10.43,13.67,16.36,25.51,10.5,9.35,8.94,8.16,8.19,16.41,18.13
STK4.DT,0.15,0.16,0.04,0.3,0.14,0.15,0.23,0.1,0.04,0.33,0.15,0.51,0.22,0.2,0.29,0.26,0.09,0.36,0.18,0.11,0.16,0.46,0.13
STK40,30.93,36,39.97,29.27,19.79,64.2,58.74,23.77,30.09,17.29,23.99,24.78,25.34,16.36,23.57,28.17,20.41,21.79,15.2,10.34,16.82,29.71,74.95
STKLD1,4.61,0.78,1.54,0.9,1.54,0.88,6.9,0.44,0.49,0.12,0.76,1.06,0.76,1.74,1.81,2.82,0.34,1.15,1.88,0.77,0.42,0.32,0.79
STMN1,452.71,83.43,63.37,96.22,140.61,300.31,307.55,95.69,62.42,64.12,56.2,78.99,56.32,35.29,57.12,1426.99,52.4,60.38,50.66,164.38,108.98,46.91,53.56
STMN2,0.82,1.49,1.91,0.08,0.9,0.18,19.08,3.16,0.39,0.08,0.19,0.49,0.2,1.6,0.26,0.14,0.09,0.55,0.83,0,0.25,0,0.39
STMN3,27.57,27.76,36.55,7.48,81.28,18.28,137.46,9.04,12.64,48.57,17.42,14.98,16.56,26.91,25.95,19.23,51.49,9.53,15.44,15.5,22.24,23.83,10.98
STMN4,0,0,0.02,0,0.05,0,22.06,0,0,0,0,0,0.02,0.14,0.04,0,0.03,0.14,0,0.39,0,0.04,0.06
STMND1,4.51,0.27,0.3,0.02,0.35,0,0.79,0.09,0.62,0,2.4,5.95,18.26,6.15,1.71,1.17,0.1,1.16,2.24,0.06,0,0.31,2.56
STMP1,27.72,19.37,21.11,28.63,34.38,48.69,43.61,18.17,18.23,26.9,13.02,19.11,14.84,18.48,20.89,44.57,14.45,15.26,17.26,47.28,39.25,21.08,10.09
